"","Name","Score2008","Score2014","Score2021","EarlyNAflag","LaterNAflag","Scorechange","lon","lat","address"
"99","Pentland Hills Regional Park       , Edinburgh, Scotland",NA,75,85,NA,NA,10,-3.2008838,55.9199025,"69a hermitage of braid, braid rd, edinburgh eh10 6jf, uk"
"100","Pentland View Park       , Edinburgh, Scotland",NA,54,68,NA,NA,14,-3.2128868,55.9080365,"pentland view, edinburgh eh10, uk"
"101","Pikes Pool     , Edinburgh, Scotland",NA,42,62,NA,NA,20,-3.4071306,55.9528329,"pikes pool dr, kirkliston eh29, uk"
"102","Pilrig Park         , Edinburgh, Scotland",NA,57,69,NA,NA,12,-3.1825279,55.9679974,"pilrig park, pilrig st, edinburgh eh6 5ba, uk"
"103","Portobello Comm Garden      , Edinburgh, Scotland",NA,72,68,NA,NA,-4,-3.1040438,55.9521538,"portobello community garden, portobello, edinburgh eh15 2eb, uk"
"104","Prestonfield Park      , Edinburgh, Scotland",NA,66,78,NA,NA,12,-3.1581683,55.9329694,"prestonfield park, 2 prestonfield ave, edinburgh eh16 5eu, uk"
"105","Prestonfield War Memorial Garden     , Edinburgh, Scotland",NA,70,68,NA,NA,-2,-3.1636162,55.9337617,"prestonfield war memorial, edinburgh eh16 5ef, uk"
"106","Princes Street Gardens         , Edinburgh, Scotland",NA,70,76,NA,NA,6,-3.198699,55.949555,"princes street gardens, princes st, edinburgh eh2 2hg, uk"
"107","Ratho Park       , Edinburgh, Scotland",NA,60,69,NA,NA,9,-3.3687619,55.9091024,"101 dalmahoy rd, kirknewton eh27 8eg, uk"
"108","Ratho Station Park     , Edinburgh, Scotland",NA,53,62,NA,NA,9,-3.3116582,55.9273798,"station pk, edinburgh, uk"
"109","Ratho Station Rec Ground Recreation Ground West     , Edinburgh, Scotland",NA,48,53,NA,NA,5,-3.3886799,55.9369312,"ratho station, newbridge eh28, uk"
"110","Ravelston Park     , Edinburgh, Scotland",NA,73,67,NA,NA,-6,-3.2288221,55.9518928,"ravelston park, edinburgh, uk"
